================== ORDERS REPORT ==================
TF	ID	TQ	TA	TR	TS	Ti	Tc	Tw	Tserv
------------------ PERFORMANCE STATS ------------------
 Finished Orders : 80%
 Cancelled Orders: 20%
 Overwait Orders : 0%

------------------ TIME ANALYSIS ------------------
Avg Idle Time (Ti)    : 316.725
Avg Cooking Time (Tc)  : 12.665
Avg Wait Time (Tw)     : 329.39
Avg Service Time       : 7.665

------------------ UTILIZATION ------------------
 Scooters Utilization: 5.42088%
 Chefs Utilization   : 78.1285%

=====================================================
               END OF SIMULATION REPORT
=====================================================
